"Species","Virus.name.abbreviations","Genome.coverage"
"Cache Valley orthobunyavirus","CVV","Complete genome"
"Cache Valley orthobunyavirus","CHLV","Partial genome"
"Cache Valley orthobunyavirus","TALV","Complete genome"
"Cachoeira Porteira orthobunyavirus","CPOV","Complete genome"
"California encephalitis orthobunyavirus","CEV","Complete genome"
"California encephalitis orthobunyavirus","MBV","Partial genome"
"Capim orthobunyavirus","CAPV","Complete genome"
"Caraparu orthobunyavirus","CARV","Complete genome"
"Caraparu orthobunyavirus","EHUV","Partial genome"
"Caraparu orthobunyavirus","ITYV","Complete genome"
"Caraparu orthobunyavirus","OSSAV","Partial genome"
"Caraparu orthobunyavirus","VINV","Partial genome"
"Cat Que orthobunyavirus","CQV","Complete genome"
"Cat Que orthobunyavirus","OYAV","Complete genome"
"Catu orthobunyavirus","CATUV","Complete genome"
"Enseada orthobunyavirus","ENSV","Complete genome"
"Faceys paddock orthobunyavirus","FPV","Complete genome"
"Fort Sherman orthobunyavirus","FSV","Complete genome"
"Fort Sherman orthobunyavirus","LLV","Complete genome"
"Gamboa orthobunyavirus","GAMV","Complete genome"
"Gamboa orthobunyavirus","BLAV","No entry in Genbank"
"Gamboa orthobunyavirus","CQIV","Complete genome"
"Gamboa orthobunyavirus","PVV","Complete genome"
"Gamboa orthobunyavirus","SOBV","No entry in Genbank"
"Gan Gan orthobunyavirus","GGV","Complete genome"
"Guajara orthobunyavirus","GJAV","Complete genome"
"Guama orthobunyavirus","GMAV","Complete genome"
"Guaroa orthobunyavirus","GROV","Complete genome"
"Iaco orthobunyavirus","IACOV","Complete genome"
"Ilesha orthobunyavirus","ILEV","Complete genome"
"Ingwavuma orthobunyavirus","INGV","Complete genome"
"Jamestown Canyon orthobunyavirus","JCV","Complete genome"
"Jamestown Canyon orthobunyavirus","INKV","Complete genome"
"Jamestown Canyon orthobunyavirus","JSV","Complete genome"
"Jamestown Canyon orthobunyavirus","SORV","Complete genome"
"Jatobal orthobunyavirus","JASTV","Complete genome"
"Kaeng Khoi orthobunyavirus","KKV","Complete genome"
"Kairi orthobunyavirus","KRIV","Complete genome"
"Keystone orthobunyavirus","KEYV","Complete genome"
"Koongol orthobunyavirus","KOOV","Complete genome"
"Koongol orthobunyavirus","WONV","No entry in Genbank"
"La Crosse orthobunyavirus","LACV","Complete genome"
"Leanyer orthobunyavirus","LEAV","Complete genome"
"Lumbo orthobunyavirus","LUMV","Complete genome"
"Macaua orthobunyavirus","MCAV","Complete genome"
"Madrid orthobunyavirus","MADV","Complete genome"
"Maguari orthobunyavirus","MAGV","Complete genome"
"Maguari orthobunyavirus","PLAV","Complete genome"
"Mahogany Hammock orthobunyavirus","MHV","Complete genome"
"Main Drain orthobunyavirus","MDV","Complete genome"
"Manzanilla orthobunyavirus","MANV","Complete genome"
"Manzanilla orthobunyavirus","INIV","No entry in Genbank"
"Mapputta orthobunyavirus","MAPV","Complete genome"
"Maprik orthobunyavirus","MPKV","Complete genome"
"Marituba orthobunyavirus","MTBV","Complete genome"
"Marituba orthobunyavirus","GLV","Partial genome"
"Marituba orthobunyavirus","MURV","Complete genome"
"Marituba orthobunyavirus","NEPV","Complete genome"
"Marituba orthobunyavirus","RESV","Partial genome"
"Marituba orthobunyavirus","ZUNV","No entry in Genbank"
"Matruh orthobunyavirus","MTRV","Complete genome"
"Melao orthobunyavirus","MELV","Complete genome"
"Mermet orthobunyavirus","MERV","Complete genome"
"Minatitlan orthobunyavirus","MNTV","No entry in Genbank"
"Minatitlan orthobunyavirus","PLSV","No entry in Genbank"
"Moju orthobunyavirus","MOJUV","Complete genome"
"MPoko orthobunyavirus","MPOV","Partial genome"
"MPoko orthobunyavirus","Y1V","No entry in Genbank"
"Nyando orthobunyavirus","NDV","Complete genome"
"Nyando orthobunyavirus","ERETV","No entry in Genbank"
"Nyando orthobunyavirus","MDCV","Complete genome"
"Olifantsvlei orthobunyavirus","OLIV","No entry in Genbank"
"Olifantsvlei orthobunyavirus","BIAV","No entry in Genbank"
"Olifantsvlei orthobunyavirus","DABV","No entry in Genbank"
"Olifantsvlei orthobunyavirus","OUBIV","No entry in Genbank"
"Oriboca orthobunyavirus","ORIV","Complete genome"
"Oriboca orthobunyavirus","ITQV","No entry in Genbank"
"Oropouche orthobunyavirus","OROV","Complete genome"
"Oropouche orthobunyavirus","IQTV","Complete genome"
"Oropouche orthobunyavirus","MDDV","Complete genome"
"Oropouche orthobunyavirus","PDEV","Complete genome"
"Oropouche orthobunyavirus","PINTV","No entry in Genbank"
"Oyo orthobunyavirus","OYOV","Complete genome"
"Patois orthobunyavirus","PATV","Complete genome"
"Patois orthobunyavirus","BABV","Complete genome"
"Patois orthobunyavirus","PAHV","No entry in Genbank"
"Patois orthobunyavirus","ZEGV","Complete genome"
"Peaton orthobunyavirus","PEAV","Complete genome"
"Potosi orthobunyavirus","POTV","Complete genome"
"Sabo orthobunyavirus","SABOV","Complete genome"
"San Angelo orthobunyavirus","SAV","Complete genome"
"Sango orthobunyavirus","SANV","Complete genome"
"Schmallenberg orthobunyavirus","SBV","Complete genome"
"Schmallenberg orthobunyavirus","DOUV","Complete genome"
"Schmallenberg orthobunyavirus","SATV","Complete genome"
"Schmallenberg orthobunyavirus","SHAV","Complete genome"
"Sedlec orthobunyavirus","SEDV","Complete coding genome"
"Serra do Navio orthobunyavirus","SDNV","Complete genome"
"Shark River orthobunyavirus","SRV","Complete coding genome"
"Shuni orthobunyavirus","SHUV","Complete genome"
"Shuni orthobunyavirus","KAIV","Complete genome"
"Simbu orthobunyavirus","SIMV","Complete genome"
"Simbu orthobunyavirus","PARAV","No entry in Genbank"
"Snowshoe hare orthobunyavirus","SSHV","Complete genome"
"Snowshoe hare orthobunyavirus","KHATV","Complete genome"
"Sororoca orthobunyavirus","SORV","Complete genome"
"Tacaiuma orthobunyavirus","TCMV","Complete genome"
"Tacaiuma orthobunyavirus","CA1071V","No entry in Genbank"
"Tacaiuma orthobunyavirus","CA3626V","No entry in Genbank"
"Tacaiuma orthobunyavirus","VRV","No entry in Genbank"
"Tahyna orthobunyavirus","TAHV","Complete genome"
"Tataguine orthobunyavirus","TATV","Complete genome"
"Tensaw orthobunyavirus","TENV","Complete genome"
"Tete orthobunyavirus","TETEV","Complete genome"
"Tete orthobunyavirus","BAHV","Complete genome"
"Tete orthobunyavirus","TSUV","No entry in Genbank"
"Tete orthobunyavirus","WELV","Partial genome"
"Thimiri orthobunyavirus","THIV","Complete genome"
"Timboteua orthobunyavirus","TBTV","No entry in Genbank"
"Triniti orthobunyavirus","TNTV","Complete genome"
"Trivittatus orthobunyavirus","TVTV","Complete genome"
"Trivittatus orthobunyavirus","ACHOV","Complete genome"
"Trivittatus orthobunyavirus","INFV","Complete genome"
"Turlock orthobunyavirus","UMBV","Complete genome"
"Turlock orthobunyavirus","LEDV","No entry in Genbank"
"Turlock orthobunyavirus","TURV","No entry in Genbank"
"Utinga orthobunyavirus","UTIV","Complete genome"
"Utinga orthobunyavirus","UTEV","Complete genome"
"Witwatersrand orthobunyavirus","WITV","Complete genome"
"Wolkberg orthobunyavirus","WBV","Complete genome"
"Wyeomyia orthobunyavirus","WYOV","Complete genome"
"Wyeomyia orthobunyavirus","TAIAV","Complete genome"
"Wyeomyia orthobunyavirus","TUCV","Complete genome"
"Caimito pacuvirus","CAIV","Complete genome"
"Chilibre pacuvirus","CHIV","Complete genome"
"Pacui pacuvirus","PACV","Complete genome"
"Rio Preto da Eva pacuvirus","RPEV","Complete genome"
"Tapirape pacuvirus","TAPV","Complete genome"
"Insect shangavirus","SgIV-1","Complete coding genome"
"Cicadellivirus scaphoidei","StHV","Complete coding genome"
"Ferak feravirus","FERV","Complete genome"
"Hemipteran feravirus","HeFV","Complete coding genome"
"Neuropteran feravirus","NeFV","Complete coding genome"
"Hymenopteran hymovirus 1","HyHV-1","Complete coding genome"
"Hymenopteran hymovirus 2","HyHV-2","Complete coding genome"
"Jonchet jonvirus","JONV","Complete genome"
"Anopheles orthophasmavirus","AtOPV","Complete coding genome"
"Coleopteran orthophasmavirus","CPRV","Complete coding genome"
"Culex orthophasmavirus","CPLV","Complete coding genome"
"Ganda orthophasmavirus","GBEEV","Complete coding genome"
"Hymenopteran orthophasmavirus 1","HyOV-1","Complete coding genome"
"Hymenopteran orthophasmavirus 2","HyOV-2","Complete coding genome"
"Kigluaik phantom orthophasmavirus","KPV","Complete genome"
"Niukluk phantom orthophasmavirus","NUKV","Complete coding genome"
"Odonate orthophasmavirus","HbOV-1","Complete coding genome"
"Orthophasmavirus barstukasense","BARV","Complete coding genome"
"Orthophasmavirus coredoense","CORV","Complete coding genome"
"Orthophasmavirus flenense","FLNV","Complete coding genome"
"Orthophasmavirus miglotasense","MIGV","Complete coding genome"
"Qingling orthophasmavirus","HbOV-9","Complete coding genome"
"Wuchang cockroach orthophasmavirus 1","WCV1","Complete genome"
"Wuhan mosquito orthophasmavirus 1","WMV1","Complete genome"
"Wuhan mosquito orthophasmavirus 2","WMV2","Complete genome"
"Sanxia sawastrivirus","SxWSV-2","Complete genome"
"Insect wuhivirus","WhIV-2","Complete coding genome"
"Bhanja bandavirus","BHAV","Complete genome"
"Dabie bandavirus","SFTSV","Complete genome"
"Guertu bandavirus","GTV","Complete coding genome"
"Heartland bandavirus","HRTV","Complete genome"
"Hunter Island bandavirus","HUIV","Complete genome"
"Kismaayo bandavirus","KISV","Complete genome"
"Lone star bandavirus","LSV","Complete genome"
"Razdan bandavirus","RAZV","Complete coding genome"
"Dipteran beidivirus","HbDV-3","Complete coding genome"
"Citrus coguvirus","CCGaV","Complete genome"
"Coguvirus eburi","CiVA","Complete genome"
"Grapevine coguvirus","GaCLV-1","Complete coding genome"
"Entoleuca entovirus","EnPLV-1","Complete coding genome"
"Cumuto goukovirus","CUMV","Complete genome"
"Gouleako goukovirus","GOUV","Complete genome"
"Yichang insect goukovirus","YIV","Complete genome"
"Horsefly horwuvirus","WhHV","Complete coding genome"
"Kimberley horwuvirus","FCTenV1","Complete coding genome"
"Dipteran hudivirus","HbDV-4","Complete coding genome"
"Lepidopteran hudovirus","HbLV-1","Complete coding genome"
"Blackleg ixovirus","BTPV-1","Complete genome"
"Norway ixovirus","NIXV","Complete coding genome"
"Scapularis ixovirus","BTPV-3","Complete coding genome"
"Grapevine laulavirus 2","GaCLV-2","Complete coding genome"
"Grapevine laulavirus 3","GaCLV-3","Complete coding genome"
"Grapevine laulavirus 4","GaCLV-4","Complete coding genome"
"Laurel Lake laulavirus","LLV","Complete genome"
"Lentinula lentinuvirus","LeNSRV-2","Complete coding genome"
"Mothra mobuvirus","MTHV","Complete coding genome"
"Narangue mobuvirus","NRGV","Complete coding genome"
"Badu phasivirus","BADV","Complete genome"
"Dipteran phasivirus","HbDV-5","Complete coding genome"
"Fly phasivirus","WhFV-1","Complete coding genome"
"Guadeloupe phasivirus","GMPV","Complete coding genome"
"Kimberley phasivirus","PCPhasV1","Complete coding genome"
"Phasi Charoen-like phasivirus","PCVR","Complete genome"
"Wutai mosquito phasivirus","WMoV","Complete genome"
"Adana phlebovirus","ADAV","Complete genome"
"Aguacate phlebovirus","AGUV","Complete genome"
"Alcube phlebovirus","ACBV","Complete genome"
"Alenquer phlebovirus","ALEV","Complete genome"
"Ambe phlebovirus","ABEV","Complete coding genome"
"Anhanga phlebovirus","ANHV","Complete coding genome"
"Arumowot phlebovirus","AMTV","Complete genome"
"Bogoria phlebovirus","BGRV","Complete coding genome"
"Buenaventura phlebovirus","BUEV","Complete genome"
"Bujaru phlebovirus","BUJV","Complete genome"
"Cacao phlebovirus","CACV","Complete genome"
"Campana phlebovirus","CMAV","Complete coding genome"
"Candiru phlebovirus","CDUV","Complete genome"
"Chagres phlebovirus","CHGV","Complete genome"
"Cocle phlebovirus","CCLV","Complete coding genome"
"Corfou phlebovirus","CFUV","Complete coding genome"
"Dashli phlebovirus","DASV","Complete genome"
"Durania phlebovirus","DRNV","Complete genome"
"Echarate phlebovirus","ECHV","Complete genome"
"Embossos phlebovirus","EMBV","Complete coding genome"
"Frijoles phlebovirus","FRIV","Partial genome"
"Gabek phlebovirus","GFV","Complete genome"
"Gordil phlebovirus","GORV","Complete coding genome"
"Icoaraci phlebovirus","ICOV","Complete coding genome"
"Itaituba phlebovirus","ITAV","Complete genome"
"Itaporanga phlebovirus","ITPV","Complete genome"
"Ixcanal phlebovirus","IXCV","Complete genome"
"Karimabad phlebovirus","KARV","Complete coding genome"
"Kiborgoch phlebovirus","KBGV","Complete coding genome"
"La Gloria phlebovirus","LAGV","Complete coding genome"
"Lara phlebovirus","RICV","Complete coding genome"
"Leticia phlebovirus","LETV","Complete genome"
"Maldonado phlebovirus","MLOV","Complete coding genome"
"Massilia phlebovirus","MASV","Complete genome"
"Medjerda phlebovirus","MVV","Complete genome"
"Mona Grita phlebovirus","MOGV","Complete coding genome"
"Mukawa phlebovirus","MKWV","Complete genome"
"Munguba phlebovirus","MUNV","Complete coding genome"
"Naples phlebovirus","SFNV","Complete genome"
"Nique phlebovirus","NIQV","Complete genome"
"Ntepes phlebovirus","NTPV","Complete genome"
"Odrenisrou phlebovirus","ODRV","Complete genome"
"Oriximina phlebovirus","ORXV","Complete genome"
"Pena Blanca phlebovirus","PEBV","Complete coding genome"
"Penshurt phlebovirus","PEHV","Complete coding genome"
"Perkerra phlebovirus","PKEV","Complete coding genome"
"Punique phlebovirus","PUNV","Complete coding genome"
"Punta Toro phlebovirus","PTV","Complete genome"
"Rift Valley fever phlebovirus","RVFV","Complete genome"
"Rio Grande phlebovirus","RGV","Complete coding genome"
"Saint Floris phlebovirus","SAFV","Complete genome"
"Salanga phlebovirus","SLGV","Complete coding genome"
"Salehabad phlebovirus","SALV","Complete coding genome"
"Salobo phlebovirus","SLBOV","Complete genome"
"Sicilian phlebovirus","SFCV","Complete genome"
"Tapara phlebovirus","TPRV","Complete coding genome"
"Tehran phlebovirus","THEV","Complete coding genome"
"Tico phlebovirus","TICV","Complete coding genome"
"Toros phlebovirus","TORV","Complete genome"
"Toscana phlebovirus","TOSV","Complete coding genome"
"Tres Almendras phlebovirus","TRAV","Complete coding genome"
"Turuna phlebovirus","TUAV","Complete genome"
"Uriurana phlebovirus","URIV","Complete genome"
"Urucuri phlebovirus","URUV","Complete coding genome"
"Viola phlebovirus","VIOV","Complete coding genome"
"Zerdali phlebovirus","ZERV","Complete coding genome"
"Coleopteran pidchovirus","CoPrV-308","Complete coding genome"
"Pidgey pidchovirus","PGYV","Complete coding genome"
"Apple rubodvirus 1","ARWV-1","Complete genome"
"Apple rubodvirus 2","ARWV-2","Complete genome"
"Grapevine rubodvirus 1","GGDV","Complete coding genome"
"Grapevine rubodvirus 2","GMRV","Complete coding genome"
"Human tanzavirus","DeSV","Complete coding genome"
"Echinochloa hoja blanca tenuivirus","EHBV","Partial genome"
"European wheat striate mosaic tenuivirus","EWSMV","Complete coding genome"
"Iranian wheat stripe tenuivirus","IWSV","Partial genome"
"Maize stripe tenuivirus","MSV","Partial genome"
"Melon tenuivirus","MeCSV","Complete genome"
"Rice grassy stunt tenuivirus","RGSV","Complete genome"
"Rice hoja blanca tenuivirus","RHBV","Complete genome"
"Rice stripe tenuivirus","RSV","Complete genome"
"Urochloa hoja blanca tenuivirus","UHBV","Partial genome"
"American dog uukuvirus","ADAV","Complete genome"
"Dabieshan uukuvirus","DbsTV","Complete coding genome"
"Grand Arbaud uukuvirus","GAV","Complete genome"
"Huangpi uukuvirus","HpTV-2","Complete genome"
"Kabuto mountain uukuvirus","KAMV","Complete genome"
"Kaisodi uukuvirus","KASDV","Complete coding genome"
"Lihan uukuvirus","LITV","Complete coding genome"
"Murre uukuvirus","MURV","Complete genome"
"Pacific coast uukuvirus","PACTV","Complete coding genome"
"Precarious Point uukuvirus","PPV","Complete genome"
"Rukutama uukuvirus","RUKV","Complete coding genome"
"Schmidt uukuvirus","EGAV","Complete genome"
"Silverwater uukuvirus","SILV","Complete genome"
"Tacheng uukuvirus","TcTV-2","Complete coding genome"
"Uukuniemi uukuvirus","UUKV","Complete genome"
"Yongjia uukuvirus","YjTV-1","Complete coding genome"
"Zaliv Terpeniya uukuvirus","ZTV","Complete coding genome"
"Shrimp wenrivirus","WzSV-1","Complete genome"
"Alstroemeria necrotic streak orthotospovirus","ANSV","Complete coding genome"
"Alstroemeria yellow spot orthotospovirus","AYSV","Complete genome"
"Bean necrotic mosaic orthotospovirus","BeNMV","Complete genome"
"Calla lily chlorotic spot orthotospovirus","CCSV","Complete genome"
"Capsicum chlorosis orthotospovirus","CaCV","Complete genome"
"Chrysanthemum stem necrosis orthotospovirus","CSNV","Complete genome"
"Groundnut bud necrosis orthotospovirus","GBNV","Complete genome"
"Groundnut chlorotic fan spot orthotospovirus","GCFSV","Complete genome"
"Groundnut ringspot orthotospovirus","GRSV","Complete coding genome"
"Groundnut yellow spot orthotospovirus","GRSV","Partial genome"
"Hippeastrum chlorotic ringspot orthotospovirus","HCRV","Complete genome"
"Impatiens necrotic spot orthotospovirus","INSV","Complete genome"
"Iris yellow spot orthotospovirus","IYSV","Complete genome"
"Melon severe mosaic orthotospovirus","MSMV","Complete genome"
"Melon yellow spot orthotospovirus","MYSV","Complete genome"
"Mulberry vein banding associated orthotospovirus","MVBaV","Complete genome"
"Pepper chlorotic spot orthotospovirus","PCSV","Complete genome"
"Polygonum ringspot orthotospovirus","PolRSV","Complete genome"
"Soybean vein necrosis orthotospovirus","SVNV","Complete genome"
"Tomato chlorotic spot orthotospovirus","TCSV","Partial genome"
"Tomato spotted wilt orthotospovirus","TSWV","Complete genome"
"Tomato yellow ring orthotospovirus","TYRV","Complete genome"
"Tomato zonate spot orthotospovirus","TZSV","Complete genome"
"Watermelon bud necrosis orthotospovirus","WBNV","Complete genome"
"Watermelon silver mottle orthotospovirus","WSMoV","Complete genome"
"Zucchini lethal chlorosis orthotospovirus","ZLC","Complete genome"
"Orthotulasvirus tulasnellae","TB-LV","Complete genome"
"Wumivirus millepedae","WhMV-2","Complete coding genome"
"Tilapinevirus tilapiae","TiLV","Complete genome"
"Alphainfluenzavirus influenzae","IAV","Complete genome"
"Betainfluenzavirus influenzae","IBV","Complete genome"
"Deltainfluenzavirus influenzae","ICV","Complete genome"
"Gammainfluenzavirus influenzae","IDV","Complete genome"
"Isavirus salaris","ISAV","Complete genome"
"Mykissvirus tructae","RbtOV","Complete genome"
"Quaranjavirus araguariense","ARAV","Complete genome"
"Quaranjavirus chadense","LKCV","Complete genome"
"Quaranjavirus johnstonense","JAV","Partial genome"
"Quaranjavirus quaranfilense","QV","Complete genome"
"Quaranjavirus tyulekense","TLKV","Complete genome"
"Quaranjavirus wellfleetense","WFBV","Complete genome"
"Sardinovirus pilchardi","POMV","Complete genome"
"Thogotovirus bourbonense","BRBV","Complete genome"
"Thogotovirus dhoriense","DV","Complete genome"
"Thogotovirus josense","JOSV","Complete coding genome"
"Thogotovirus ozense","OZV","Complete genome"
"Thogotovirus sinuense","SINUV","Complete genome"
"Thogotovirus thailandense","TT-THOV","Complete coding genome"
"Thogotovirus thogotoense","TV","Complete genome"
"Thogotovirus upoluense","UPOV","Complete genome"
"Allium cepa amalgavirus 1","AcAV1","Complete coding genome"
"Allium cepa amalgavirus 2","AcAV2","Complete coding genome"
"Blueberry latent virus","BBLV","Complete genome"
"Rhododendron virus A","VCVM","Complete genome"
"Southern tomato virus","STV","Complete genome"
"Spinach amalgavirus 1","SpAV1","Complete coding genome"
"Vicia cryptic virus M","RhVA","Partial genome"
"Zoostera marina amalgavirus 1","ZmAV1","Complete coding genome"
"Zoostera marina amalgavirus 2","ZmAV2","Complete coding genome"
"Zygosaccharomyces bailii virus Z","ZbV-Z","Complete genome"
"Curvularia orthocurvulavirus 1","CThTV","Complete genome"
"Fusarium graminearum orthocurvulavirus","FgRV4","Complete genome"
"Heterobasidion orthocurvulavirus","HetRV6","Complete genome"
"Lactarius rufus orthocurvulavirus 1","LrRV1","Complete genome"
"Lactarius tabidus orthocurvulavirus 1","LtRV1","Complete genome"
"Rhizoctonia solani orthocurvulavirus 1","RsRV1","Complete genome"
"Sclerotium hydrophilum orthocurvulavirus 1","ShV1","Complete genome"
"Trichoderma harzianum orthocurvulavirus 1","ThBMV1","Complete genome"
"Alphafusarivirus agarici","AbV10","Complete coding genome"
"Alphafusarivirus aspergilli","AeFV1","Complete coding genome"
"Alphafusarivirus auriculariae","AhFV1","Complete coding genome"
"Alphafusarivirus botryospheriae","BdFV1","Complete genome"
"Alphafusarivirus botrytidis","BcFV5","Complete coding genome"
"Alphafusarivirus fusarii","FgDV1","Complete genome"
"Alphafusarivirus ioaponiae","FpFV1","Complete genome"
"Alphafusarivirus italiae","PvlaFV2","Complete coding genome"
"Alphafusarivirus macrophominae","MpFV1","Complete coding genome"
"Alphafusarivirus neofusicocci","NlFV1","Complete genome"
"Alphafusarivirus neurosporae","NdFV1","Complete coding genome"
"Alphafusarivirus penicilli","PaFV1","Complete coding genome"
"Alphafusarivirus plasmoparae","PvlaFV1","Complete coding genome"
"Alphafusarivirus pleosporae","PtFV1","Complete coding genome"
"Alphafusarivirus portobelli","AbV11","Complete coding genome"
"Alphafusarivirus rhizoctoniae","RsFV3","Complete coding genome"
"Alphafusarivirus rolfsii","SrFV2","Complete coding genome"
"Alphafusarivirus roqueforti","PrFV1","Complete coding genome"
"Alphafusarivirus roselliniae","RnFV1","Complete genome"
"Alphafusarivirus rutstroemiae","RfFV1","Complete coding genome"
"Alphafusarivirus sclerotii","SrFV1","Complete coding genome"
"Alphafusarivirus zymoseptoriae","ZtFV1","Complete coding genome"
"Betafusarivirus alternariae","AlbFV1","Complete genome"
"Betafusarivirus botrytidis","BcFV7","Complete coding genome"
"Betafusarivirus brasiliensis","RsFV2","Complete coding genome"
"Betafusarivirus crassae","NcFV1","Complete genome"
"Betafusarivirus hispaniae","BcFV3","Complete coding genome"
"Betafusarivirus homeocarpa","ShFV1","Complete coding genome"
"Betafusarivirus iberiae","BcFV4","Complete coding genome"
"Betafusarivirus neurosporae","NdFV2","Complete genome"
"Betafusarivirus rhizoctoniae","RsFV1","Complete coding genome"
"Betafusarivirus sclerotiniae","SsFV1","Complete genome"
"Betafusarivirus sinensis","BcFV1","Complete genome"
"Gammafusarivirus lentinualea","LeFV1","Complete coding genome"
"Alphahypovirus alternariae","AaHV1","Complete coding genome"
"Alphahypovirus americanum","CHV2","Complete genome"
"Alphahypovirus bipolaridis","BoHV1","Complete genome"
"Alphahypovirus botrytidis","BcHV2","Complete coding genome"
"Alphahypovirus cryphonectriae","CHV1","Complete genome"
"Alphahypovirus fusarii","FgHV1","Complete coding genome"
"Alphahypovirus insecti","WHIV14","Complete coding genome"
"Alphahypovirus japonicum","FsHV1","Complete genome"
"Alphahypovirus macrophominae","MpHV1","Partial genome"
"Alphahypovirus sacchari","FsHV1","Complete genome"
"Alphahypovirus trichodermae","TaHV1","Complete coding genome"
"Betahypovirus americanum","CHV4","Complete genome"
"Betahypovirus cryphonectriae","CHV3","Complete genome"
"Betahypovirus fusarii","FodHV2","Complete genome"
"Betahypovirus phomopsis","PlHV1","Complete genome"
"Betahypovirus sclerotiniae","SsHV1","Complete genome"
"Betahypovirus setosphaeriae","StHV1","Complete coding genome"
"Betahypovirus sinensis","BcHV1","Complete genome"
"Betahypovirus trichodermae","ThHV1","Complete genome"
"Betahypovirus valsae","VcHV1","Complete genome"
"Deltahypovirus sinicum","BH-LV1","Complete coding genome"
"Deltahypovirus sipunculidi","BHSWV6","Complete coding genome"
"Epsilonhypovirus agarici","AbV2","Partial genome"
"Epsilonhypovirus entoleucae","EnHV1","Complete genome"
"Epsilonhypovirus japonicum","FpHV1","Complete coding genome"
"Epsilonhypovirus roselliniae","RnHV1","Complete genome"
"Epsilonhypovirus sclerotiniae","ShHV1","Complete coding genome"
"Epsilonhypovirus sinicum","FlHV1","Complete genome"
"Etahypovirus sclerotii","SrHV8","Complete coding genome"
"Gammahypovirus atheliae","SrHV4","Complete coding genome"
"Gammahypovirus meridionalis","SrHV5","Complete coding genome"
"Gammahypovirus sclerotii","SrHV2","Complete coding genome"
"Gammahypovirus sinensis","SrHV3","Complete coding genome"
"Gammahypovirus uredi","SrHV7","Complete coding genome"
"Thetahypovirus botrytidis","BcHV4","Complete coding genome"
"Thetahypovirus rhizoctoniae","RsHV1","Complete coding genome"
"Thetahypovirus sclerotii","SrHV1","Complete genome"
"Thetahypovirus sclerotiniae","SsHV2","Complete coding genome"
"Zetahypovirus sclerotiniae","SrHV6","Complete coding genome"
"Beet cryptic virus 1","BCV1","Complete genome"
"Carrot cryptic virus","CCV","Complete genome"
"Cherry chlorotic rusty spot associated partitivirus","CCRSaPV","Complete genome"
"Cherry chlorotic rusty spot associated partitivirus","CCRSaPV","Complete genome"
"Chondrostereum purpureum cryptic virus 1","CpCV1","Complete genome"
"Flammulina velutipes browning virus","FvBV","Complete genome"
"Helicobasidium mompa partitivirus V70","HmPVV70","Partial genome"
"Heterobasidion partitivirus 1","HetPV1","Complete genome"
"Heterobasidion partitivirus 3","HetRV3","Complete genome"
"Heterobasidion partitivirus 12","HetPV12","Complete genome"
"Heterobasidion partitivirus 13","HetPV13","Complete genome"
"Heterobasidion partitivirus 13","HetPV13","Complete genome"
"Heterobasidion partitivirus 13","HetPV13","Partial genome"
"Heterobasidion partitivirus 13","HetPV13","Partial genome"
"Heterobasidion partitivirus 15","HetPV15","Complete genome"
"Rosellinia necatrix partitivirus 2","RnPV2","Complete genome"
"Vicia cryptic virus","VCV","Complete genome"
"Vicia cryptic virus","VCV","Complete genome"
"Vicia cryptic virus","VCV","Complete genome"
"Vicia cryptic virus","VCV","Complete genome"
"Vicia cryptic virus","VCV","Complete genome"
"Vicia cryptic virus","VCV","Partial genome"
"Vicia cryptic virus","VCV","Partial genome"
"White clover cryptic virus 1","WCCV1","Complete genome"
"Atkinsonella hypoxylon virus","AhV","Complete genome"
"Cannabis cryptic virus","CCV","Complete genome"
"Cannabis cryptic virus","CCV","Complete genome"
"Ceratocystis resinifera virus 1","CrV1","Complete genome"
"Ceratocystis resinifera virus 1","CpPV","Complete genome"
"Ceratocystis resinifera virus 1","CpPV","Complete genome"
"Crimson clover cryptic virus 2","CCCV2","Complete genome"
"Dill cryptic virus 2","DCV2","Complete genome"
"Fusarium poae virus 1","FpV1","Complete genome"
"Fusarium poae virus 1","FpV1","Complete genome"
"Heterobasidion partitivirus 2","HetRV2","Complete genome"
"Heterobasidion partitivirus 2","HetRV2","Partial genome"
"Heterobasidion partitivirus 2","HetRV2","Partial genome"
"Heterobasidion partitivirus 2","HetRV2","Partial genome"
"Heterobasidion partitivirus 2","HetRV2","Partial genome"
"Heterobasidion partitivirus 2","HetRV2","Partial genome"
"Heterobasidion partitivirus 2","HetRV2","Partial genome"
"Heterobasidion partitivirus 7","HetRV7","Complete genome"
"Heterobasidion partitivirus 7","HetRV7","Partial genome"
"Heterobasidion partitivirus 7","HetRV7","Partial genome"
"Heterobasidion partitivirus 8","HetRV8","Complete genome"
"Heterobasidion partitivirus P","HetPVP","Partial genome"
"Hop trefoil cryptic virus 2","HTCV2","Complete genome"
"Pleurotus ostreatus virus 1","PoV1","Complete genome"
"Primula malacoides virus 1","PmV1","Complete genome"
"Red clover cryptic virus 2","RCCV2","Complete genome"
"Rhizoctonia solani virus 717","RsV","Complete genome"
"Rosellinia necatrix virus 1","RnV1","Complete genome"
"White clover cryptic virus 2","WCCV2","Complete genome"
"Cryptosporidium parvum virus 1","CSpV1","Complete genome"
"Cryptosporidium parvum virus 1","CSpV1","Partial genome"
"Beet cryptic virus 2","BCV2","Complete genome"
"Beet cryptic virus 3","BCV3","Partial genome"
"Fig cryptic virus","FCV","Complete genome"
"Pepper cryptic virus 1","PCV1","Complete genome"
